Analyzing online social networks|Bill Howard|Communications of the ACM , Volume 51 Issue 11|2008|http://dl.acm.org/ft_gateway.cfm?id=1400220&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
An ethnographic study of an online, mutual-aid health community: group dynamics, roles, and relationships|Diane Maloney-Krichmar|CHI EA '02: CHI '02 Extended Abstracts on Human Factors in Computing Systems|2002|http://dl.acm.org/ft_gateway.cfm?id=506479&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
A semantic-based social network of academic researchers|Elnaz Davoodi, Keivan Kianmehr|IEA/AIE'12: Proceedings of the 25th international conference on Industrial Engineering and Other Applications of Applied Intelligent Systems: advanced research in applied artificial intelligence|2012|http://dl.acm.org/ft_gateway.cfm?id=2368431&type=external&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Who knows whom in a virtual learning network?: applying social network analysis to communities of learners at the computer clubhouse|Elisabeth Sylvan|ICLS '06: Proceedings of the 7th international conference on Learning sciences|2006|http://dl.acm.org/ft_gateway.cfm?id=1150144&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Network and content analysis in an online community discourse|Maarten de Laat|CSCL '02: Proceedings of the Conference on Computer Support for Collaborative Learning: Foundations for a CSCL Community|2002|http://dl.acm.org/ft_gateway.cfm?id=1658755&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
The dark web portal project: collecting and analyzing the presence of terrorist groups on the web|Jialun Qin, Yilu Zhou, Guanpi Lai, Edna Reid, Marc Sageman, Hsinchun Chen|ISI'05: Proceedings of the 2005 IEEE international conference on Intelligence and Security Informatics|2005|http://dl.acm.org/ft_gateway.cfm?id=2154737&type=external&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Detecting opinion leaders and trends in online social networks|Freimut Bodendorf, Carolin Kaiser|SWSM '09: Proceeding of the 2nd ACM workshop on Social web search and mining|2009|http://dl.acm.org/ft_gateway.cfm?id=1651448&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Unsupervised discovery of opposing opinion networks from forum discussions|Yue Lu, Hongning Wang, ChengXiang Zhai, Dan Roth|CIKM '12: Proceedings of the 21st ACM international conference on Information and knowledge management|2012|http://dl.acm.org/ft_gateway.cfm?id=2398489&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Analysing information flows and key mediators through temporal centrality metrics|John Tang, Mirco Musolesi, Cecilia Mascolo, Vito Latora, Vincenzo Nicosia|SNS '10: Proceedings of the 3rd Workshop on Social Network Systems|2010|http://dl.acm.org/ft_gateway.cfm?id=1852661&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Improving developer activity metrics with issue tracking annotations|Andrew Meneely, Mackenzie Corcoran, Laurie Williams|WETSoM '10: Proceedings of the 2010 ICSE Workshop on Emerging Trends in Software Metrics|2010|http://dl.acm.org/ft_gateway.cfm?id=1809234&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
First steps towards a social learning analytics for online communities of practice for educators|Darren Cambridge, Kathleen Perez-Lopez|LAK '12: Proceedings of the 2nd International Conference on Learning Analytics and Knowledge|2012|http://dl.acm.org/ft_gateway.cfm?id=2330622&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Social Networks and the Semantic Web|Peter Mika|WI '04: Proceedings of the 2004 IEEE/WIC/ACM International Conference on Web Intelligence|2004|http://dl.acm.org/ft_gateway.cfm?id=1026332&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Multilingual use of twitter: social networks and language choice|Irene Eleta|CSCW '12: Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work Companion|2012|http://dl.acm.org/ft_gateway.cfm?id=2141621&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
PLEAD 2012: politics, elections and data|Ingmar Weber, Ana-Maria Popescu, Marco Pennacchiotti|CIKM '12: Proceedings of the 21st ACM international conference on Information and knowledge management|2012|http://dl.acm.org/ft_gateway.cfm?id=2398759&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
BioPortal Infectious Disease Informatics research: disease surveillance and situational awareness|Yulei Zhang, Yan Dang, Yi-Da Chen, Hsinchun Chen, Mark Thurmond, Chwan-Chuen King, Daniel Dajun Zeng, Catherine A. Larson|dg.o '08: Proceedings of the 2008 international conference on Digital government research|2008|http://dl.acm.org/ft_gateway.cfm?id=1367909&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Virtual play and communities: the evolution of group roles in electronic trace data|Alison N. Novak, Christopher M. Mascaro, Sean P. Goggins|iConference '12: Proceedings of the 2012 iConference|2012|http://dl.acm.org/ft_gateway.cfm?id=2132260&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Evaluating the extent to which sociability and social presence affects learning performance|Terence Charlton, Lindsay Marshall, Marie Devlin|ITiCSE '08: Proceedings of the 13th annual conference on Innovation and technology in computer science education|2008|http://dl.acm.org/ft_gateway.cfm?id=1384384&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Towards modeling social and content dynamics in discussion forums|Jihie Kim, Aram Galstyan|WSA '10: Proceedings of the NAACL HLT 2010 Workshop on Computational Linguistics in a World of Social Media|2010|http://dl.acm.org/ft_gateway.cfm?id=1860674&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Scalable OLAP and mining of information networks|Jiawei Han, Xifeng Yan, Philip S. Yu|EDBT '09: Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology|2009|Sem Link para Download|
X-RIME: Cloud-Based Large Scale Social Network Analysis|Wei Xue, JuWei Shi, Bo Yang|SCC '10: Proceedings of the 2010 IEEE International Conference on Services Computing|2010|http://dl.acm.org/ft_gateway.cfm?id=1849486&type=external&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
PrIter: a distributed framework for prioritized iterative computations|Yanfeng Zhang, Qixin Gao, Lixin Gao, Cuirong Wang|SOCC '11: Proceedings of the 2nd ACM Symposium on Cloud Computing|2011|http://dl.acm.org/ft_gateway.cfm?id=2038929&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Relief work after the 2010 Haiti earthquake: leadership in an online resource coordination network|Sean Goggins, Christopher Mascaro, Stephanie Mascaro|CSCW '12: Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work|2012|http://dl.acm.org/ft_gateway.cfm?id=2145218&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Analysis of privacy in online social networks of runet|Slava Kisilevich, Florian Mansmann|SIN '10: Proceedings of the 3rd international conference on Security of information and networks|2010|http://dl.acm.org/ft_gateway.cfm?id=1854112&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
All your face are belong to us: breaking Facebook's social authentication|Iasonas Polakis, Marco Lancini, Georgios Kontaxis, Federico Maggi, Sotiris Ioannidis, Angelos D. Keromytis, Stefano Zanero|ACSAC '12: Proceedings of the 28th Annual Computer Security Applications Conference|2012|http://dl.acm.org/ft_gateway.cfm?id=2421008&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
The socialbot network: when bots socialize for fame and money|Yazan Boshmaf, Ildar Muslukhov, Konstantin Beznosov, Matei Ripeanu|ACSAC '11: Proceedings of the 27th Annual Computer Security Applications Conference|2011|http://dl.acm.org/ft_gateway.cfm?id=2076746&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
SNAPP: a bird's-eye view of temporal participant interaction|Aneesha Bakharia, Shane Dawson|LAK '11: Proceedings of the 1st International Conference on Learning Analytics and Knowledge|2011|http://dl.acm.org/ft_gateway.cfm?id=2090144&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Framework for building intelligent mobile social applications|Marcio E. F. Maia, Joao Bosco F. Filho, Carlos A. B. de Q. Filho, Rute N. S. Castro, Rossana M. C. Andrade, Fredrik Toorn|SAC '12: Proceedings of the 27th Annual ACM Symposium on Applied Computing|2012|http://dl.acm.org/ft_gateway.cfm?id=2245377&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Measuring node importance on Twitter microblogging|Leila Weitzel, Paulo Quaresma, Jos Palazzo M. de Oliveira|WIMS '12: Proceedings of the 2nd International Conference on Web Intelligence, Mining and Semantics|2012|http://dl.acm.org/ft_gateway.cfm?id=2254145&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Understanding and modeling the small-world phenomenon in dynamic networks|Anh-Dung Nguyen, Patrick Senac, Michel Diaz|MSWiM '12: Proceedings of the 15th ACM international conference on Modeling, analysis and simulation of wireless and mobile systems|2012|http://dl.acm.org/ft_gateway.cfm?id=2387301&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Context-based friend suggestion in online photo-sharing community|Ting Yao, Chong-Wah Ngo, Tao Mei|MM '11: Proceedings of the 19th ACM international conference on Multimedia|2011|http://dl.acm.org/ft_gateway.cfm?id=2071909&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
New races in parameterized algorithmics|Christian Komusiewicz, Rolf Niedermeier|MFCS'12: Proceedings of the 37th international conference on Mathematical Foundations of Computer Science|2012|http://dl.acm.org/ft_gateway.cfm?id=2368932&type=external&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Exploring political activities in the Saudi Twitterverse|Hend S. Al-Khalifa|iiWAS '11: Proceedings of the 13th International Conference on Information Integration and Web-based Applications and Services|2011|http://dl.acm.org/ft_gateway.cfm?id=2095604&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
"Eu vi o que você fez... e eu sei quem você é!": uma análise sobre privacidade no facebook do ponto de vista dos usuários|Francine Blow Bergmann, Milene Selbach Silveira|IHC '12: Proceedings of the 11th Brazilian Symposium on Human Factors in Computing Systems|2012|http://dl.acm.org/ft_gateway.cfm?id=2393551&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Vlogging: A survey of videoblogging technology on the web|Wen Gao, Yonghong Tian, Tiejun Huang, Qiang Yang|Computing Surveys (CSUR) , Volume 42 Issue 4|2010|http://dl.acm.org/ft_gateway.cfm?id=1749606&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Graph mining: Laws, generators, and algorithms|Deepayan Chakrabarti, Christos Faloutsos|Computing Surveys (CSUR) , Volume 38 Issue 1|2006|http://dl.acm.org/ft_gateway.cfm?id=1132954&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Conceptualizing and advancing research networking systems|Titus Schleyer, Brian S. Butler, Mei Song, Heiko Spallek|Transactions on Computer-Human Interaction (TOCHI) , Volume 19 Issue 1|2012|http://dl.acm.org/ft_gateway.cfm?id=2147785&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Kronecker Graphs: An Approach to Modeling Networks|Jure Leskovec, Deepayan Chakrabarti, Jon Kleinberg, Christos Faloutsos, Zoubin Ghahramani|The Journal of Machine Learning Research , Volume 11|2010|http://dl.acm.org/ft_gateway.cfm?id=1756039&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Community Discovery via Metagraph Factorization|Yu-Ru Lin, Jimeng Sun, Hari Sundaram, Aisling Kelliher, Paul Castro, Ravi Konuru|Transactions on Knowledge Discovery from Data (TKDD) , Volume 5 Issue 3|2011|http://dl.acm.org/ft_gateway.cfm?id=1993081&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Social matching: A framework and research agenda|Loren Terveen, David W. McDonald|Transactions on Computer-Human Interaction (TOCHI) , Volume 12 Issue 3|2005|http://dl.acm.org/ft_gateway.cfm?id=1096740&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Smart business networks: how the network wins|Eric van Heck, Peter Vervest|Communications of the ACM , Volume 50 Issue 6|2007|http://dl.acm.org/ft_gateway.cfm?id=1247002&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Friendship prediction and homophily in social media|Luca Maria Aiello, Alain Barrat, Rossano Schifanella, Ciro Cattuto, Benjamin Markines, Filippo Menczer|Transactions on the Web (TWEB) , Volume 6 Issue 2|2012|http://dl.acm.org/ft_gateway.cfm?id=2180866&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
An approach to social recommendation for context-aware mobile services|Claudio Biancalana, Fabio Gasparetti, Alessandro Micarelli, Giuseppe Sansonetti|Transactions on Intelligent Systems and Technology (TIST) , Volume 4 Issue 1|2013|http://dl.acm.org/ft_gateway.cfm?id=2414435&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Path-tree: An efficient reachability indexing scheme for large directed graphs|Ruoming Jin, Ning Ruan, Yang Xiang, Haixun Wang|Transactions on Database Systems (TODS) , Volume 36 Issue 1|2011|http://dl.acm.org/ft_gateway.cfm?id=1929941&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
ViSAGE: A Virtual Laboratory for Simulation and Analysis of Social Group Evolution|Jeffrey Baumes, Hung-Ching (Justin) Chen, Matthew Francisco, Mark Goldberg, Malik Magdon-Ismail, William Wallace|Transactions on Autonomous and Adaptive Systems (TAAS) , Volume 3 Issue 3|2008|http://dl.acm.org/ft_gateway.cfm?id=1380423&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Free/open source software development|Walt Scacchi|ESEC-FSE '07: Proceedings of the the 6th joint meeting of the European software engineering conference and the ACM SIGSOFT symposium on The foundations of software engineering|2007|http://dl.acm.org/ft_gateway.cfm?id=1287689&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Free/open source software development: recent research results and emerging opportunities|Walt Scacchi|ESEC-FSE companion '07: The 6th Joint Meeting on European software engineering conference and the ACM SIGSOFT symposium on the foundations of software engineering: companion papers|2007|http://dl.acm.org/ft_gateway.cfm?id=1295019&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Social capital, social network and identity bonds: a reconceptualization|Hao Jiang, John M. Carroll|C&T '09: Proceedings of the fourth international conference on Communities and technologies|2009|http://dl.acm.org/ft_gateway.cfm?id=1556469&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Semantic imitation in social tagging|Wai-Tat Fu, Thomas Kannampallil, Ruogu Kang, Jibo He|Transactions on Computer-Human Interaction (TOCHI) , Volume 17 Issue 3|2010|http://dl.acm.org/ft_gateway.cfm?id=1806926&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Who is Retweeting the Tweeters? Modeling, Originating, and Promoting Behaviors in the Twitter Network|Palakorn Achananuparp, Ee-Peng Lim, Jing Jiang, Tuan-Anh Hoang|Transactions on Management Information Systems (TMIS) , Volume 3 Issue 3|2012|http://dl.acm.org/ft_gateway.cfm?id=2361258&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Volunteers' participation in open source software development: a study from the social-relational perspective|Bo Xu, Donald R. Jones|SIGMIS Database , Volume 41 Issue 3|2010|http://dl.acm.org/ft_gateway.cfm?id=1851180&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Establishing government chief information officer systems: readiness assessment|Elsa Estevez, Tomasz Janowski, Ignacio Marcovecchio, Adegboyega Ojo|dg.o '11: Proceedings of the 12th Annual International Digital Government Research Conference: Digital Government Innovation in Challenging Times|2011|http://dl.acm.org/ft_gateway.cfm?id=2037603&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Local communities and IPTV: Lessons learned in an early design and development phase|Marianna Obrist, Marc Miletich, Teresa Holocher, Elke Beck, Sara Kepplinger, Paul Muzak, Regina Bernhaupt, Manfred Tscheligi|Computers in Entertainment (CIE) , Volume 7 Issue 3|2009|http://dl.acm.org/ft_gateway.cfm?id=1594956&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Lessons for participatory designers of social media: long-term user involvement strategies in industry|Mikael Johnson, Sampsa Hyysalo|PDC '12: Proceedings of the 12th Participatory Design Conference: Research Papers - Volume 1 , Volume 1|2012|http://dl.acm.org/ft_gateway.cfm?id=2347646&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Blogosphere: research issues, tools, and applications|Nitin Agarwal, Huan Liu|SIGKDD Explorations Newsletter , Volume 10 Issue 1|2008|http://dl.acm.org/ft_gateway.cfm?id=1412737&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Shared prolepsis and intersubjectivity in open source development: expansive grounding in distributed work|Pl Fugelli, Leif C. Lahn, Anders I. Mrch|CSCW '13: Proceedings of the 2013 conference on Computer supported cooperative work|2013|Sem Link para Download|
Evidence-based trust: A mathematical model geared for multiagent systems|Yonghong Wang, Munindar P. Singh|Transactions on Autonomous and Adaptive Systems (TAAS) , Volume 5 Issue 4|2010|http://dl.acm.org/ft_gateway.cfm?id=1867715&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Joint cluster analysis of attribute data and relationship data: The connected k-center problem, algorithms and applications|Rong Ge, Martin Ester, Byron J. Gao, Zengjian Hu, Binay Bhattacharya, Boaz Ben-Moshe|Transactions on Knowledge Discovery from Data (TKDD) , Volume 2 Issue 2|2008|http://dl.acm.org/ft_gateway.cfm?id=1376816&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Plug-and-play macroscopes|Katy Brner|Communications of the ACM , Volume 54 Issue 3|2011|http://dl.acm.org/ft_gateway.cfm?id=1897871&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Extreme ethnography: challenges for research in large scale online environments|Dana Rotman, Jennifer Preece, Yurong He, Allison Druin|iConference '12: Proceedings of the 2012 iConference|2012|http://dl.acm.org/ft_gateway.cfm?id=2132203&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Social learning analytics: five approaches|Rebecca Ferguson, Simon Buckingham Shum|LAK '12: Proceedings of the 2nd International Conference on Learning Analytics and Knowledge|2012|http://dl.acm.org/ft_gateway.cfm?id=2330616&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Social network analysis of public access computing: relationships as a critical benefit of libraries, telecenters and cybercafés in developing countries|L. Fernando Baron, Ricardo Gomez|iConference '12: Proceedings of the 2012 iConference|2012|http://dl.acm.org/ft_gateway.cfm?id=2132225&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Finding maximal cliques in massive networks|James Cheng, Yiping Ke, Ada Wai-Chee Fu, Jeffrey Xu Yu, Linhong Zhu|Transactions on Database Systems (TODS) , Volume 36 Issue 4|2011|http://dl.acm.org/ft_gateway.cfm?id=2043654&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
SCENT: Scalable compressed monitoring of evolving multirelational social networks|Yu-Ru Lin, K. Selcuk Candan, Hari Sundaram, Lexing Xie|Transactions on Multimedia Computing, Communications, and Applications (TOMCCAP) , Volume 7S Issue 1|2011|http://dl.acm.org/ft_gateway.cfm?id=2037686&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Understanding online social network usage from a network perspective|Fabian Schneider, Anja Feldmann, Balachander Krishnamurthy, Walter Willinger|IMC '09: Proceedings of the 9th ACM SIGCOMM conference on Internet measurement conference|2009|http://dl.acm.org/ft_gateway.cfm?id=1644899&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Top-k Similar Graph Matching Using TraM in Biological Networks|Mohammad Shafkat Amin, Russell L. Finley, Jr., Hasan M. Jamil|IEEE/ACM Transactions on Computational Biology and Bioinformatics (TCBB) , Volume 9 Issue 6|2012|http://dl.acm.org/ft_gateway.cfm?id=2415677&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Mixing methods and theory to explore web activity|Ramine Tinati, Susan Halford, Leslie Carr, Catherine Pope|WebSci '12: Proceedings of the 3rd Annual ACM Web Science Conference|2012|http://dl.acm.org/ft_gateway.cfm?id=2380758&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
Content redundancy in YouTube and its application to video tagging|Jose San Pedro, Stefan Siersdorfer, Mark Sanderson|Transactions on Information Systems (TOIS) , Volume 29 Issue 3|2011|http://dl.acm.org/ft_gateway.cfm?id=1993037&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
An online blog reading system by topic clustering and personalized ranking|Xin Li, Jun Yan, Weiguo Fan, Ning Liu, Shuicheng Yan, Zheng Chen|Transactions on Internet Technology (TOIT) , Volume 9 Issue 3|2009|http://dl.acm.org/ft_gateway.cfm?id=1552292&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
CrimeNet explorer: a framework for criminal network knowledge discovery|Jennifer J. Xu, Hsinchun Chen|Transactions on Information Systems (TOIS) , Volume 23 Issue 2|2005|http://dl.acm.org/ft_gateway.cfm?id=1059984&type=pdf&coll=DL&dl=GUIDE&CFID=278914302&CFTOKEN=20389009|
